No,Group,Post URL,Message,PostTime,ScrapedAt
1,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527442207524961/,"แผง Aiko เงาบังนิดเดียว... ไฟไม่ตก! 
ปกติแผงโซล่าเซลล์ถ้าเจอเงาบังนิดหน่อย ไฟจะหายไปเยอะเลยใช่ไหมครับ? แต่ตัวนี้เขามีระบบ Partial Shading Optimisation ช่วยให้แผงยังผลิต... ดูเพิ่มเติม",13 นาที,2026-04-27 11:02:16
2,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527439867525195/,RAPD ส่งฟรีโดยร้านค้า LiFePO4 Battery  24V - 320Ah / 100Ah มี 2แบบ(Floor Type... ดูเพิ่มเติม,16 นาที,2026-04-27 11:02:16
3,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527438774191971/,สิ้นเดือนนี้มีแผง Aiko 770 เข้าค่า ใครจองก่อนได้ของก่อนเลยย ... ดูเพิ่มเติม,18 นาที,2026-04-27 11:02:16
4,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527423674193481/,"จำหน่ายแผงโซล่าร์เซลล์
คุณภาพมาตรฐานระดับโลก Tier 1... ดูเพิ่มเติม",39 นาที,2026-04-27 11:02:21
5,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527416864194162/,"฿1,450
 
 · พระทองคํา, นครราชสีมา",49 นาที,2026-04-27 11:02:26
6,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527415850860930/,"บริษัท เอราวัณ โซล่าร์ รับสมัครพนักงานติดตั้ง 1 ตำแหน่ง(ชาย)
****-วิศวกร งานติดตั้งระบบไฟฟ้า/โซล่าร์ 18,000-28,000 บาท/เดือน (มีประสบการณ์)***
****-ช่างติดตั้งระบบโซล่าร์ บ้าน/โรงงาน 3 ตำแหน่ง(ชาย) ค่",51 นาที,2026-04-27 11:02:37
7,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527414054194443/,#ติดตั้งแผงโซล่าเซลล์ #SolarRooftop #ประหยัดค่าไฟ #พลังงานแสงอาทิตย์,54 นาที,2026-04-27 11:02:37
8,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",1 วัน,2026-04-27 11:02:50
9,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1657457405578322/,"⚠️ ด่วน! ค่าไฟรอบใหม่ขึ้นอีกแล้ว ⚠️
พ.ค. – ส.ค. 𝟐𝟓𝟔𝟗 นี้ ค่า 𝐅𝐭 ปรับขึ้นเป็น 𝟎.𝟏𝟔𝟐𝟑 บาท/หน่วย จากเดิม 𝟎.𝟎𝟗𝟕𝟐 บาท/หน่วย แปลว่าทั้งบ้านและธุรกิจต้องเตรี... ดูเพิ่มเติม",4 วัน,2026-04-27 11:03:12
10,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359423224302668/,ความปลอดภัยโซล่าเซลล์ต้องมาก่อนSafety First,2 นาที,2026-04-27 11:03:27
