No,Group,Post URL,Message,PostTime,ScrapedAt
1,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527415850860930/,"บริษัท เอราวัณ โซล่าร์ รับสมัครพนักงานติดตั้ง 1 ตำแหน่ง(ชาย)
****-วิศวกร งานติดตั้งระบบไฟฟ้า/โซล่าร์ 18,000-28,000 บาท/เดือน (มีประสบการณ์)***
****-ช่างติดตั้งระบบโซล่าร์ บ้าน/โรงงาน 3 ตำแหน่ง(ชาย) ค่",1 นาที,2026-04-27 10:11:57
2,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527414054194443/,#ติดตั้งแผงโซล่าเซลล์ #SolarRooftop #ประหยัดค่าไฟ #พลังงานแสงอาทิตย์,3 นาที,2026-04-27 10:11:57
3,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527397097529472/,"สนใจแผงโซล่าเซลล์Aiko 
สินค้ามีพร้อมส่ง Aiko650w ค่ะ
สั่งซื้อสอบถามติดต่อเกได้เลยค่ะ
โทร.065-9569689   
แอดไลน์ID gaga 65
สนใจแผงโซล่าเซลล์Aiko ... ดูเพิ่มเติม",27 นาที,2026-04-27 10:11:57
4,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527410104194838/,"ลิเธียม 3.2v 314Ah *** สินค้าใหม่ ในราคา ฿9,990ที่ Shopee
พิกัดลิงก์
https://s.shopee.co.th/BQBrByg1q",9 นาที,2026-04-27 10:12:01
5,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527409367528245/,THAI UNION... ดูเพิ่มเติม,10 นาที,2026-04-27 10:12:07
6,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527406350861880/,"สต๊อกแผงโซล่าเซลล์ 600W RAPD แบบจุกๆ 80 เรท
✅ ราคาปลีก
✅ ราคาส่ง... ดูเพิ่มเติม",15 นาที,2026-04-27 10:12:13
7,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",1 วัน,2026-04-27 10:12:28
8,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359386304306360/,"ขออนุญาตแอดมินค่ะ
มีแผงโซล่าเซลล์พร้อมส่งค่ะ Aiko650w
4.8-4.9 /w 3,120-3,185 ต่อแผง
ราคาไม่รวมvat. ไม่รวมส่งค่ะ
ค่าขนส่งคิดตามระยะทาง
ดูเพิ่มเติม",1 นาที,2026-04-27 10:12:58
9,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359385717639752/,"สอบถาม จะติดโซลล่าบนหลังคาจอดรถ แต่ไม่ชัวร์ว่าโดนตึก, ต้นไม้ บังมั๊ย
พอจะมีอุปกรณ์ตรวจสอบแสงแดดก่อนติดตั้งหรือไม่ครับ
กรณีถ้าเลี่ยงเงาบังบางช่วงเวลาไม่ได้ ควรจะติดแบบไหนดีครับ?",1 นาที,2026-04-27 10:12:58
10,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359383960973261/,ยินดีกับลูกค้าโซล่าเชลล์บ้านด้วยนะครับ ธนาคารอนุมัติแล้วครับ,3 นาที,2026-04-27 10:12:58
