No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)
1,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355284528049871/","2วันแล้ว แผงน้อยด้วยสิ pmจัง",2,"สอบถาม","2026-04-23 16:35","","2026-04-23 16:39:41"
2,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355279744717016/","มีช่างมาประเมินราคา แจ้งว่าไม่ต้องแจ้งการไฟฟ้าก็ได้ หลังจากติดตั้งแล้ว กังวลจะทำให้มีปัญหาอะไรมั้ยคะผิดกฎหมายมั้ยคะ ￼เราคิดมาตลอด ว่าต้องได้รับอนุญาตจากการไฟฟ้า ขอหน้าคำแนะนำหน่อยค่ะ",4,"สอบถาม","2026-04-23 16:28","","2026-04-23 16:39:41"
3,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355276738050650/","แอร์2ตัวใช้โซล่าเซลล์ขนาดใหนค่ะราคาประมานกี่บาท",5,"กำลังพิจารณา","2026-04-23 16:24","","2026-04-23 16:39:41"
4,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296159495817446/","ค่าไฟบ้าน 8000 กว่าบาท อยากติดโซลล่าเซลล์ ใช้ไฟ กลางวัน และกลางคืน ประมาณกี่บาทครับ อยู่ กทม.",10,"สนใจ/ซื้อ","2026-04-23 10:39","","2026-04-23 16:39:41"
5,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296363429130386/","PowMr อินเวอร์เตอร์ไฮบริด 4.2kw/6.2kw/10.2kw ต่อกริด/นอกกริด 230VAC คลื่นไซน์แท้ พร้อมตัวควบคุมชาร์จ MPPT ในตัว รองรับแบตเตอรี่ Lifepo4 ไฟ RGB",7,"สนใจโซล่าเซลล์","2026-04-23 16:17","","2026-04-23 16:39:41"
6,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296362929130436/","หาแผงโซล่าเซลส์ 650w-720w ด่วนคะ 0610134434",7,"สนใจโซล่าเซลล์","2026-04-23 16:16","","2026-04-23 16:39:41"
7,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1295461855887210/","ติดตั้งโซล่าเซลล์ระบบhybrid มิเตอร์tou ค่าไฟเดือนถัดไปเพิ่มขึ้นเล็กน้อย เหมือนไม่มีระบบโซล่า สาเหตุเกิดจากอะไรได้บ้าง ในกราฟก็ดูปกติ ระบบทำงานปกติ",5,"กำลังพิจารณา","2026-04-22 16:39","","2026-04-23 16:39:41"
8,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296137342486328/","ขอสอบถามผู้รู้ครับ 
ผมได้ใบเสนอราคา
- แผง ZNSHINE Solar 570W รุ่น ZXM7-UHLD144 × 14 แผง
- Inverter: Growatt SPM 6000TL-HU (6kW)  
- Battery: Growatt HOPE 16 kWh  ... ดูเพิ่มเติม",10,"สนใจ/ซื้อ","2026-04-23 09:39","","2026-04-23 16:39:41"
9,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296272015806194/","สอบถามครับ บ้านเดิมทีมีอาการไฟตก แต่ไม่ดับ
ถ้าติดระบบโซล่าเซลล์ไฮบริจ จะช่วยได้ไหมครับ",2,"สอบถาม","2026-04-23 13:39","","2026-04-23 16:39:41"
10,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4063460377286921/","มาๆมาแล้ว  แผงมือ 2  ที่คุณอยากได้  ราคาถูก !!  แผง 310 w มือ2  ใช้สูบน้ำ ปั้ม... ดูเพิ่มเติม",10,"สนใจ/ซื้อ","2026-04-23 11:39","","2026-04-23 16:39:41"
11,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1602792234164086/","แบตเตอรี่เก็บพลังงานที่ขายตรงจากโรงงานในจีน
เข้าใจความต้องการของคุณดีขึ้น!",3,"สอบถาม","2026-04-23 15:39","","2026-04-23 16:39:41"
12,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1602756077501035/","หาสินค้า
HUAWEI 10kw 3P 1 ตัว
HUAWEI 50kw 3P 1 ตัว
Huawei 10kW 1P 1 ตัว
Power module 1 ตัว... ดูเพิ่มเติม",8,"สนใจโซล่าเซลล์","2026-04-23 14:39","","2026-04-23 16:39:41"
