No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)
1,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4523516964584152/","TMDA 5kW 1 Phase On-Grid String Inverter (รับประกันศูนย์ไทย 10 ปี) ในราคา ฿17,... ดูเพิ่มเติม",5,"กำลังพิจารณา","2026-04-23 16:57","","2026-04-23 17:57:37"
2,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355363678041956/","จัดให้ดูว่าการใช้ไฟจากโซล่าเซลล์แบบตรงแต่ดัดแปลงใช้ตู้เชื่อมอินเวอร์เตอร์รับไฟ... ดูเพิ่มเติม",5,"กำลังพิจารณา","2026-04-23 17:55","","2026-04-23 17:57:37"
3,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355356988042625/","จัดอีกสักตู้ครับวันนี้ขอบคุณลูกค้านะครับผมที่อุดหนุนสินค้า Inverter Pure sine ... ดูเพิ่มเติม",5,"กำลังพิจารณา","2026-04-23 17:46","","2026-04-23 17:57:37"
4,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296415279125201/","ต้องการติดโซล่าเซล 10 KW + แบต 16-20KW พื้นที่บางพลีสมุทรปรรการ ลงรายละเอียดไว้เลยนะครับถ้าสนใจจะติดต่อไปครับ",9,"สนใจ/ซื้อ","2026-04-23 17:29","","2026-04-23 17:57:37"
5,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296362929130436/","หาแผงโซล่าเซลส์ 650w-720w ด่วนคะ 0610134434",9,"สนใจ/ซื้อ","2026-04-23 15:57","","2026-04-23 17:57:37"
6,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1292532242846838/","วันนี้แนะนำเครื่องมือใหม่ สำหรับคนกำลังคิดอยากจะติดโซลาร์เซลล์ที่บ้านครับ หลาย... ดูเพิ่มเติม",9,"สนใจ/ซื้อ","2026-04-18 17:57","","2026-04-23 17:57:37"
7,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1291719032928159/","คนที่บ้านติดโซล่าเซลล์แล้ว
อยากจะบอกอะไรกับคนที่กำลังคิดจะติดคะ
",9,"สนใจ/ซื้อ","2026-04-17 17:57","","2026-04-23 17:57:37"
8,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4063689813930644/","อินเวอร์เตอร์สำหรับควบคุมปั๊มไฟฟ้าในระบบโซล่าเชลล์ ขนาด 2 แรงม้า",5,"กำลังพิจารณา","2026-04-23 16:57","","2026-04-23 17:57:37"
9,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4061443357488623/","TRINA SOLAR
ซื้อจำนวนเยอะ
EPC
มีราคาพิเศษ... ดูเพิ่มเติม",7,"สนใจโซล่าเซลล์","2026-04-21 17:57","","2026-04-23 17:57:37"
