No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)
1,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4356213494623641/"," ของดีราคาประหยัดมาแล้ว!
แผงโซลาร์เซลล์ 245W มือ 2 หน้าใส... ดูเพิ่มเติม",9,"สนใจ/ซื้อ","2026-04-24 12:10","","2026-04-24 12:12:42"
2,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1603477484095561/","อินเวอร์เตอร์ปั๊มน้ำ UMC. (เครื่องควบคุมมอเตอร์)
1เฟส
... ดูเพิ่มเติม",5,"กำลังพิจารณา","2026-04-24 11:45","","2026-04-24 12:12:42"
