No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)
1,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1297027162397346/","สวัสดีค่ะอยากสอบถาม ไฟบ้าน 1 เฟส
ตอนนี้มัดจำติด solar cell
solis hybrid 10kw 1 phase
dyness battery powerbrick sc 16kw
aiko ABC 22 แผง ... ดูเพิ่มเติม",3,"สอบถาม","2026-04-24 11:51","","2026-04-24 12:18:59"
2,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1603477484095561/","อินเวอร์เตอร์ปั๊มน้ำ UMC. (เครื่องควบคุมมอเตอร์)
1เฟส
... ดูเพิ่มเติม",5,"กำลังพิจารณา","2026-04-24 11:45","","2026-04-24 12:18:59"
