No,Group,Post URL,Message,PostTime (UTC+7),ScrapeAt (UTC+7)
1,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527603964175452/,"RAPD ส่งฟรี Li - BATTERY Lithium 300Ah 200Ah 100Ah 51.2 V มีให้เลือก 3แบบ (NEW)
 https://s.shopee.co.th/5L8IGIiNct
 https://s.lazada.co.th/s.ZgG9ML?t=p-i6YYjZo-sSIKWAX",15 นาที,2026-04-27 14:52:18
2,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527593107509871/,ผู้รับเหมา / ร้านติดตั้งโซลาร์ ห้ามเลื่อนผ่านโพสต์นี้!... ดูเพิ่มเติม,30 นาที,2026-04-27 14:52:18
3,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527592940843221/,"สายไฟ PV Cable สายไฟ PV ขนาด 6 sq.mm.ยี่ห้อ LINK สีแดง/ดำ 1,000R M. /Roll... ดูเพิ่มเติม",31 นาที,2026-04-27 14:52:18
4,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527586280843887/,"ราคา 65,000 บาท... ดูเพิ่มเติม",41 นาที,2026-04-27 14:52:24
5,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527582014177647/,Inbox เลยค่า,47 นาที,2026-04-27 14:52:32
6,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527580494177799/,สนใจสินค้าทักแชทสอบถามได้นะคะ หรือทักแชทสอบถามทางเพจ JPEN Market ได้เลยนะคะ หร... ดูเพิ่มเติม,50 นาที,2026-04-27 14:52:44
7,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",2 วัน,2026-04-27 14:53:01
8,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359582850953372/,เกือบแล้วครับดีที่มาเห็น จุดที่ไม่โดนแสงกลายเป็นจุดที่มีความต้านทานสูงเลยร้อนเกือบไหม้,22 นาที,2026-04-27 14:53:36
9,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359581724286818/,"แนะนำ on-off grid ระบบ 48 หม้อแปลงให้ตัวนึงครับ
จะเอาไปสำรองไฟแอร์
ขอบคุณครับ",24 นาที,2026-04-27 14:53:36
10,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359580600953597/,ระวังมิจครับเพื่อนเพื่อนพี่พี่น้อง,25 นาที,2026-04-27 14:53:36
11,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359579757620348/,อินเวอเตอร์deye on off 10kw 1pประกัน10ปี... ดูเพิ่มเติม,27 นาที,2026-04-27 14:53:48
12,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359578860953771/,"แชร์ประสบการณ์ตรงครับ ระบบโซล่าเซลล์ (No Battery) ของผมจู่ๆ ก็ใช้ไม่ได้ ATS ดีดกลับไปไฟหลวงตลอด ทั้งที่แดดเปรี้ยง ไล่ไปไล่มามาตกม้าตายที่ ""ตัวกันดูด (RCBO)"" ครับ
แชร์ประสบการณ์ครับอาการที่เจอ
วัดไฟขาเ","28 นาที
 
﻿Relaxante
 
 · Salimx",2026-04-27 14:53:52
13,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359577670953890/,ตอนนี้ติด 5 KW ทำเรื่องขายให้กับการไฟฟ้าแล้ว แล้วจะเพิ่มเป็น 10 KW (ไฟ 1 เฟส)ได้ไหมครับ,วันเฉลิม แก้ววิสูตร,2026-04-27 14:53:58
14,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359577214287269/,ที่เกาหลีใต้ เขามีถนนสายหนึ่งที่เอา “แผงโซลาร์เซลล์” มาทำเป็นหลังคา แล้วด้านล่... ดูเพิ่มเติม,30 นาที,2026-04-27 14:53:58
15,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359575354287455/,อยากได้มอเตอร์ใช้กับปั้ม เพาลอย3นิ้วท่อ ออก1.5นิ้วใช้มอเตอร์แบบไหนดีครับ,33 นาที,2026-04-27 14:54:04
16,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298914625541933/,สอบถาม ราคา แผ่นโซลาร์เซลล์ 600 วัตต์โมโน 12 เเผ่น,21 ชั่วโมง,2026-04-27 14:54:23
17,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298861055547290/,"สอบถามราคาติดตั้ง
ออนกริด 5kW ตอนนี้
อยู่ที่ราคาเท่าไหร่ครับ
ถูกใจเดี๋ยวทักไปเองครับ",23 ชั่วโมง,2026-04-27 14:54:23
18,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299671972132865/,"""เช็กด่วน! 
#ค่าไฟจ่อปรับขึ้นเป็น 3.95 บาท/หน่วย (เพิ่ม Ft 16.23 สตางค์) เริ่ม พ.ค. 69 นี้ 
#นโยบาย
#ค่าไฟฟ้า",59 นาที,2026-04-27 14:54:24
19,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299652082134854/,แนะนำหน่อยคะ อยากได้บริษัทที่สามารถผ่อนได้เป็นสินเชื่อของบริษัทโดยตรง  มีมั้ยคะ,1 ชั่วโมง,2026-04-27 14:54:28
20,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299698128796916/,แบตเตอรี่ลิเธียมฟอสเฟต LiFePO4 12v 100Ah BMS DALY ประกอบพร้อมใช้งาน สินค้าพร้อมส่ง,17 นาที,2026-04-27 14:54:28
21,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299621202137942/,ปรึกษาคา... ดูเพิ่มเติม,2 ชั่วโมง,2026-04-27 14:54:34
22,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299699632130099/,JD solar fan พัดลมตั้งโต๊ะ พัดลมโซล่าเซล 18นิ้ว ... ดูเพิ่มเติม,14 นาที,2026-04-27 14:54:44
23,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299679135465482/,รบกวนสอบถาม ถ้าเราติดตั้งแผงโซล่าบนโครงหลังคาโครงสร้างเหล็ก แล้วเราไม่มั่นใจเรื่องไฟรั่ว จะมีวิธีตรวจสอบเบื้องต้นยังไงได้บ้างครับ เอาพวกไขควงวัดไฟไปจิ้มๆตามเสาได้ไหมครับ กังวลเรื่องมาตรฐานการติดตั้งกั,47 นาที,2026-04-27 14:54:48
24,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299541712145891/,"อยากติดโซล่า
ใช้แอร์ 2 ตัว ตู้เย็น 1 รถEV
ใช้ระบบไหนดีครับ
ค่าไช้จ่ายประมาณเท่าไหร่คับ 5kw+
ขอบคุณไว้ล่วงหน้าครับ",4 ชั่วโมง,2026-04-27 14:54:53
25,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067565863543039/,รีวิว  ทดสอบเครื่องไฟฟ้า ใช้งานได้จริงไหม ลองกันชัดๆ ไม่มีตัดต่อ ไม่มีรีวิวแอ... ดูเพิ่มเติม,"ตอบกลับเร็วมาก
 
23 นาที",2026-04-27 14:55:11
26,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067561483543477/,"อินเวอร์เตอร์ แปลงไฟ 24V เป็น 220V ขนาด 3,000 วัตต์ ยี่ห้อ WE POWER MAX... ดูเพิ่มเติม","ตอบกลับเร็วมาก
 
29 นาที",2026-04-27 14:55:11
27,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4066268097006149/,Changer... ดูเพิ่มเติม,1 วัน,2026-04-27 14:55:11
28,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067550620211230/,แบตลิเธียม ฟอสเฟต 3.2  100แอม มือสอง ค่าir ประมาณ 0.6  นัดรับอ่างทองหรือใกล้เคียง ส่งขนส่ง มีปลายทาง,46 นาที,2026-04-27 14:55:18
